placeId;name;rating;review;category;description;city;address;postalCode;imageUrl;url;latitude;longitude;phone;openingHours/0/day;openingHours/0/hours;openingHours/1/day;openingHours/1/hours;openingHours/2/day;openingHours/2/hours;openingHours/3/day;openingHours/3/hours;openingHours/4/day;openingHours/4/hours;openingHours/5/day;openingHours/5/hours;openingHours/6/day;openingHours/6/hours
1;Malang Night Paradise;4,6;16184;Wisata Rekreasi;Sebuah taman hiburan malam yang menawarkan berbagai wahana seru dan atraksi menarik. Cocok untuk kamu yang ingin merasakan sensasi malam yang berbeda di Malang;Kota Malang;Jl. Graha Kencana Raya Jl. Raya Karanglo No.66, Karanglo, Balearjosari, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia;65126;https://lh5.googleusercontent.com/p/AF1QipMSBYuvYvSIJQJCeAv6-zl86xdJocvSCCPaEMVK=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Malang%20Night%20Paradise&query_place_id=ChIJ569mZIYp1i0RABy8uVtD5EE;-7,9235099;112,6580123;+62 812-3363-1616;Monday;5:30 to 11 PM;Tuesday;5:30 to 11 PM;Wednesday;5:30 to 11 PM;Thursday;5:30 to 11 PM;Friday;5:30 to 11 PM;Saturday;5:30 to 11 PM;Sunday;5:30 to 11 PM
2;Kampung Warna Warni Jodipan;4,5;1210;Wisata Rekreasi;Sebuah kampung yang disulap menjadi sangat indah dengan rumah-rumah yang dicat warna-warni. Menjadi spot foto yang sangat populer bagi wisatawan;Kota Malang;Jl. Ir. H. Juanda No.RT.7, RT.09/RW.2, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65127, Indonesia;65127;https://lh5.googleusercontent.com/p/AF1QipO7YnlkJEISCNURBhAQoAh1EUZer7yvRhiVSoq9=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Warna%20Warni%20Jodipan&query_place_id=ChIJ3__ZfFMp1i0RZf7DgqJQR2E;-7,9828594;112,6372279;;;;;;;;;;;;;;;
3;Alun Alun Malang;4,5;64009;Taman Kota;Pusat kota Malang yang sering digunakan untuk berbagai kegiatan, mulai dari berkumpul bersama teman hingga acara besar. Suasananya yang teduh dan asri cocok untuk bersantai;Kota Malang;Jl. Merdeka Selatan, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;http://t1.gstatic.com/images?q=tbn:ANd9GcRxE_owUpc-fHsaxzTE035f2djNrMNUuLtZ_Ssw8s1M0iog6QH9;https://www.google.com/maps/search/?api=1&query=Alun%20Alun%20Malang&query_place_id=ChIJx2CsGxgo1i0RtBA4m_YOH-c;-7,9826145;112,6308113;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
4;Taman Slamet;4,4;4351;Taman Kota;Taman kota yang cukup luas dan sering dijadikan tempat olahraga atau sekadar bersantai. Terdapat berbagai fasilitas seperti jogging track, area bermain anak, dan tempat duduk.;Kota Malang;Taman Slamet St No.8, Gading Kasri, Klojen, Kota Malang, East Java 65115, Indonesia;65115;https://lh5.googleusercontent.com/p/AF1QipMglKpXK3lRPg3sTnPVMZeNCLzbjqn29eyy4wjX=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Slamet&query_place_id=ChIJG6mmtico1i0RwopjEeqj81E;-7,973708;112,6224499;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
5;Wendit Recreational Park;4,1;7656;Wisata Rekreasi;Sebuah taman rekreasi yang menawarkan berbagai wahana air, seperti kolam renang dan perosotan. Cocok untuk menghabiskan waktu bersama keluarga.;Kabupaten Malang;Jl. Raya Wendit Tim., Lowoksoro, Mangliawan, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154, Indonesia;65154;https://lh5.googleusercontent.com/p/AF1QipOCJsyLiIp2x7wGUoNP0oEpRcjIl44g4EE2mpII=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Wendit%20Recreational%20Park&query_place_id=ChIJWSn4OgQp1i0R1hyPo61eSOw;-7,9524529;112,6749379;;Monday;7 AM to 5 PM;Tuesday;7 AM to 5 PM;Wednesday;7 AM to 5 PM;Thursday;7 AM to 5 PM;Friday;7 AM to 5 PM;Saturday;7 AM to 5 PM;Sunday;7 AM to 5 PM
6;Kampung Tridi;4,4;3239;Wisata Rekreasi;Kampung dengan lukisan 3 dimensi yang unik dan menarik. Cocok untuk kamu yang suka berfoto dengan latar belakang yang kreatif;Kota Malang;Jl. Temenggungan Ledok, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia;65121;https://lh5.googleusercontent.com/p/AF1QipOL8QEAEWjYKuTn7UkvBRCUXHjQkHHgdnV7Dllc=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Tridi&query_place_id=ChIJPaDBAT4o1i0R2_8JhxMSY5g;-7,9822081;112,638085;+62 819-0840-1525;Monday;8 AM to 5 PM;Tuesday;8 AM to 5 PM;Wednesday;8 AM to 5 PM;Thursday;8 AM to 5 PM;Friday;8 AM to 5 PM;Saturday;8 AM to 5 PM;Sunday;8 AM to 5 PM
7;Kampung Biru Arema;4,5;865;Wisata Rekreasi;Sebuah kampung dengan dominasi warna biru, yang merupakan warna khas dari klub sepak bola Arema FC. Terdapat mural-mural menarik yang bertemakan sepak bola;Kota Malang;2J9Q+F3G, Kiduldalem, Klojen, Kota Malang, East Java 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipONMY8JT42O1qgDtK6CTZUGFIX4fJjG3AaXcUZH=w408-h271-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Biru%20Arema&query_place_id=ChIJLUnu-D0o1i0RNWRF_2Rx4ck;-7,9813051;112,6376925;;;;;;;;;;;;;;;
8;Trunojoyo Park;4,4;2495;Wisata Rekreasi;Taman kota yang cukup luas dan sering dijadikan tempat berkumpul masyarakat. Terdapat berbagai fasilitas seperti lapangan olahraga, area bermain anak, dan tempat duduk.;Kota Malang;2JFP+CJC, Jl. Trunojoyo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia;65111;https://lh5.googleusercontent.com/p/AF1QipN727iVfS0s7nu63It8nFfHY3aY94-WQpuGQL9D=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Trunojoyo%20Park&query_place_id=ChIJBVGM9Tso1i0R8U_5lMF8I7w;-7,9764328;112,6365191;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
9;Polowijen Cultural Village;4,4;518;Wisata Budaya;Sebuah desa budaya yang menampilkan berbagai kesenian dan kerajinan khas Malang. Cocok untuk kamu yang ingin mengenal lebih dekat budaya Malang.;Kota Malang;Jl. Cakalang, RT.3/RW.2, Polowijen, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia;65126;https://lh5.googleusercontent.com/p/AF1QipNLaOJDGgTtNUHEHrBDtUc4eNytpxqIVyWPfPXL=w427-h240-k-no;https://www.google.com/maps/search/?api=1&query=Polowijen%20Cultural%20Village&query_place_id=ChIJ_5XFtvIp1i0Rbgh3Zi-Aq9g;-7,9293194;112,6433852;+62 815-5181-303;Monday;6 AM to 9:40 PM;Tuesday;6 AM to 9:40 PM;Wednesday;6 AM to 9:40 PM;Thursday;6 AM to 9:40 PM;Friday;6 AM to 9:40 PM;Saturday;6 AM to 9:40 PM;Sunday;6 AM to 9:40 PM
10;Tlogomas Park;4,1;1700;Wisata Rekreasi;Sebuah taman yang terletak di kawasan Tlogomas, Malang. Taman ini menawarkan pemandangan yang indah dan udara yang sejuk. Cocok untuk bersantai sambil menikmati alam.;Kota Malang;Jl. Baiduri Pandan No.17, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia;65144;https://lh5.googleusercontent.com/p/AF1QipPFJ8qPnueSuxCOvGzoP5VozSLUiTmcMHr-WrUA=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Tlogomas%20Park&query_place_id=ChIJn3kqnBCCeC4R0e99aQkM2zM;-7,9306041;112,6046125;+62 341 580074;Monday;7 AM to 4:30 PM;Tuesday;7 AM to 4:30 PM;Wednesday;7 AM to 4:30 PM;Thursday;7 AM to 4:30 PM;Friday;7 AM to 4:30 PM;Saturday;7 AM to 4:30 PM;Sunday;7 AM to 4:30 PM
